"Triakis","47.8","41.3","11062"
"Isurus praecursor","47.8","41.3","11062"
"Isurolamna","47.8","41.3","11062"
"Lamna","47.8","41.3","11062"
"Carcharodon auriculatus","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Odontaspis winkleri","47.8","41.3","11062"
"Galeorhinus recticonus","47.8","41.3","11062"
"Galeorhinus","47.8","41.3","11062"
"Physogaleus","47.8","41.3","11062"
"Galeocerdo latidens","47.8","41.3","11062"
"Pristis lathami","47.8","41.3","11062"
"Anoxypristis","47.8","41.3","11062"
"Propristis schweinfurthi","47.8","41.3","11062"
"Trygon jaekeli","47.8","41.3","11062"
"Aetobatis irregularis","47.8","41.3","11062"
"Aetobatus","47.8","41.3","11062"
"Rhinoptera","47.8","41.3","11062"
"Myliobatis dixoni","47.8","41.3","11062"
"Myliobatis striatus","47.8","41.3","11062"
"Myliobatis","47.8","41.3","11062"
"Myliobatis","47.8","41.3","11062"
"Archaeomanta melenhorsti","47.8","41.3","11062"
"Burnhamia daviesi","47.8","41.3","11062"
"Burnhamia","47.8","41.3","11062"
"Notorhynchus","47.8","41.3","11062"
"Nebrius","47.8","41.3","11062"
"Hemiscyllium","47.8","41.3","11062"
"Eostegostoma","47.8","41.3","11062"
"Palaeorhincodon","47.8","41.3","11062"
"Squatina prima","47.8","41.3","11062"
"Squalus minor","47.8","41.3","11062"
"Isistius","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Scyliorhinus pattersoni","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Mustelus","47.8","41.3","11062"
"Triakis","47.8","41.3","11062"
"Isurus praecursor","47.8","41.3","11062"
"Isurolamna","47.8","41.3","11062"
"Lamna","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Odontaspis winkleri","47.8","41.3","11062"
"Galeorhinus","47.8","41.3","11062"
"Galeorhinus recticonus","47.8","41.3","11062"
"Galeorhinus","47.8","41.3","11062"
"Physogaleus","47.8","41.3","11062"
"Galeocerdo latidens","47.8","41.3","11062"
"Pristis lathami","47.8","41.3","11062"
"Anoxypristis","47.8","41.3","11062"
"Propristis schweinfurthi","47.8","41.3","11062"
"Trygon jaekeli","47.8","41.3","11062"
"Aetobatis irregularis","47.8","41.3","11062"
"Aetobatus","47.8","41.3","11062"
"Rhinoptera","47.8","41.3","11062"
"Myliobatis dixoni","47.8","41.3","11062"
"Myliobatis striatus","47.8","41.3","11062"
"Myliobatis","47.8","41.3","11062"
"Myliobatis","47.8","41.3","11062"
"Archaeomanta melenhorsti","47.8","41.3","11062"
"Burnhamia daviesi","47.8","41.3","11062"
"Burnhamia","47.8","41.3","11062"
"Notorhynchus","47.8","41.3","11062"
"Eostegostoma","47.8","41.3","11062"
"Squatina prima","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Isurus praecursor","47.8","41.3","11062"
"Isurolamna","47.8","41.3","11062"
"Lamna","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Odontaspis winkleri","47.8","41.3","11062"
"Galeorhinus recticonus","47.8","41.3","11062"
"Galeorhinus","47.8","41.3","11062"
"Physogaleus","47.8","41.3","11062"
"Galeocerdo latidens","47.8","41.3","11062"
"Pristis lathami","47.8","41.3","11062"
"Anoxypristis","47.8","41.3","11062"
"Trygon jaekeli","47.8","41.3","11062"
"Aetobatis irregularis","47.8","41.3","11062"
"Aetobatus","47.8","41.3","11062"
"Rhinoptera","47.8","41.3","11062"
"Myliobatis dixoni","47.8","41.3","11062"
"Myliobatis striatus","47.8","41.3","11062"
"Myliobatis","47.8","41.3","11062"
"Myliobatis","47.8","41.3","11062"
"Burnhamia daviesi","47.8","41.3","11062"
"Burnhamia","47.8","41.3","11062"
"Notorhynchus","47.8","41.3","11062"
"Nebrius","47.8","41.3","11062"
"Hemiscyllium","47.8","41.3","11062"
"Eostegostoma","47.8","41.3","11062"
"Isistius","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Scyliorhinus pattersoni","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Triakis","47.8","41.3","11062"
"Isurus praecursor","47.8","41.3","11062"
"Isurolamna","47.8","41.3","11062"
"Lamna","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Carcharias","47.8","41.3","11062"
"Odontaspis winkleri","47.8","41.3","11062"
"Galeorhinus","47.8","41.3","11062"
"Physogaleus","47.8","41.3","11062"
"Galeocerdo latidens","47.8","41.3","11062"
"Pristis lathami","47.8","41.3","11062"
"Trygon jaekeli","47.8","41.3","11062"
"Aetobatis irregularis","47.8","41.3","11062"
"Myliobatis dixoni","47.8","41.3","11062"
"Myliobatis striatus","47.8","41.3","11062"
"Burnhamia daviesi","47.8","41.3","11062"
"Burnhamia","47.8","41.3","11062"
"Notorhynchus","47.8","41.3","11062"
"Nebrius","47.8","41.3","11062"
"Eostegostoma","47.8","41.3","11062"
"Squatina prima","47.8","41.3","11062"
"Squalus minor","47.8","41.3","11062"
"Isistius","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Scyliorhinus pattersoni","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Isurus praecursor","47.8","41.3","11062"
