"accepted_name","accepted_rank","lng","lat"
"Myliobatis","genus","-1.200500","50.796001"
"Aetobatis irregularis","species","-1.200500","50.796001"
"Burnhamia daviesi","species","-1.200500","50.796001"
"Archaeomanta","genus","-1.200500","50.796001"
"Odontaspis","genus","32.966667","29.250000"
"Heterodontus woodwardi","species","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus woodwardi","species","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus woodwardi","species","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus woodwardi","species","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Heterodontus woodwardi","species","-1.211500","50.804001"
"Heterodontus","genus","-1.211500","50.804001"
"Notorhynchus","genus","-1.211500","50.804001"
"Hemiscyllium","genus","-1.211500","50.804001"
"Eostegostoma","genus","-1.211500","50.804001"
"Palaeorhincodon","genus","-1.211500","50.804001"
"Squatina prima","species","-1.211500","50.804001"
"Squalus minor","species","-1.211500","50.804001"
"Isistius","genus","-1.211500","50.804001"
"Abdounia","genus","-1.211500","50.804001"
"Abdounia","genus","-1.211500","50.804001"
"Scyliorhinus","genus","-1.211500","50.804001"
"Scyliorhinus pattersoni","species","-1.211500","50.804001"
"Scyliorhinus","genus","-1.211500","50.804001"
"Mustelus","genus","-1.211500","50.804001"
"Triakis","genus","-1.211500","50.804001"
"Isurus praecursor","species","-1.211500","50.804001"
"Isurolamna","genus","-1.211500","50.804001"
"Lamna","genus","-1.211500","50.804001"
"Carcharodon auriculatus","species","-1.211500","50.804001"
 species not entered","Carcharias","11062","-1.211500"
 species not entered","Carcharias","11062","-1.211500"
 species not entered","Carcharias","11062","-1.211500"
 species not entered","Carcharias","11062","-1.211500"
"Odontaspis winkleri","species","-1.211500","50.804001"
"Galeorhinus recticonus","species","-1.211500","50.804001"
"Galeorhinus","genus","-1.211500","50.804001"
"Physogaleus","genus","-1.211500","50.804001"
"Galeocerdo latidens","species","-1.211500","50.804001"
"Pristis lathami","species","-1.211500","50.804001"
"Anoxypristis","genus","-1.211500","50.804001"
"Propristis schweinfurthi","species","-1.211500","50.804001"
"Trygon jaekeli","species","-1.211500","50.804001"
"Aetobatis irregularis","species","-1.211500","50.804001"
"Aetobatus","genus","-1.211500","50.804001"
"Rhinoptera","genus","-1.211500","50.804001"
"Myliobatis dixoni","species","-1.211500","50.804001"
"Myliobatis striatus","species","-1.211500","50.804001"
"Myliobatis","genus","-1.211500","50.804001"
"Myliobatis","genus","-1.211500","50.804001"
"Archaeomanta melenhorsti","species","-1.211500","50.804001"
"Burnhamia daviesi","species","-1.211500","50.804001"
"Burnhamia","genus","-1.211500","50.804001"
"Notorhynchus","genus","-1.211500","50.804001"
"Nebrius","genus","-1.211500","50.804001"
"Hemiscyllium","genus","-1.211500","50.804001"
"Eostegostoma","genus","-1.211500","50.804001"
"Palaeorhincodon","genus","-1.211500","50.804001"
"Squatina prima","species","-1.211500","50.804001"
"Squalus minor","species","-1.211500","50.804001"
"Isistius","genus","-1.211500","50.804001"
"Abdounia","genus","-1.211500","50.804001"
"Abdounia","genus","-1.211500","50.804001"
"Scyliorhinus","genus","-1.211500","50.804001"
"Scyliorhinus pattersoni","species","-1.211500","50.804001"
"Scyliorhinus","genus","-1.211500","50.804001"
"Mustelus","genus","-1.211500","50.804001"
