Genus,Species,Red List status
Rajella,bathyphila,LC
Rajella,bigelowi,LC
Rajella,caudaspinosa,NT
Rajella,challengeri,LC
Rajella,dissimilis,LC
Rajella,eisenhardti,DD
Rajella,fuliginea,LC
Rajella,fyllae,LC
Rajella,kukujevi,LC
Rajella,leopardus,LC
Rajella,lintea,LC
Rajella,nigerrima,LC
Rajella,purpuriventralis,LC
Rajella,ravidula,LC
Rajella,sadowskii,DD
Rhina,ancylostoma,VU
Rhincodon,typus,EN
Rhinobatos,albomaculatus,VU
Rhinobatos,annandalei,DD
Rhinobatos,holcorhynchus,DD
Rhinobatos,hynnicephalus,NT
Rhinobatos,irvinei,VU
Rhinobatos,jimbaranensis,VU
Rhinobatos,lionotus,DD
Rhinobatos,nudidorsalis,NT
Rhinobatos,penggali,VU
Rhinobatos,punctifer,DD
Rhinobatos,rhinobatos,EN
Rhinobatos,sainsburyi,LC
Rhinobatos,schlegelii,DD
Rhinochimaera,africana,DD
Rhinochimaera,atlantica,LC
Rhinochimaera,pacifica,LC
Rhinoptera,bonasus,NT
Rhinoptera,brasiliensis,EN
Rhinoptera,javanica,VU
Rhinoptera,marginata,NT
Rhinoptera,neglecta,DD
Rhinoptera,steindachneri,NT
Rhinoraja,albomaculata,VU
Rhinoraja,kujiensis,LC
Rhinoraja,longicauda,LC
Rhinoraja,macloviana,NT
Rhinoraja,magellanica,DD
Rhinoraja,multispinis,NT
Rhinoraja,murrayi,NT
Rhinoraja,odai,LC
Rhinoraja,taranetzi,LC
Rhizoprionodon,acutus,LC
Rhizoprionodon,lalandii,DD
Rhizoprionodon,longurio,DD
Rhizoprionodon,oligolinx,LC
Rhizoprionodon,porosus,LC
Rhizoprionodon,taylori,LC
Rhizoprionodon,terraenovae,LC
Rhynchobatus,australiae,VU
Rhynchobatus,djiddensis,VU
Rhynchobatus,laevis,VU
Rhynchobatus,luebberti,EN
Rhynchobatus,sp. nov. A,VU
Rhynchobatus,springeri,VU
Rioraja,agassizii,VU
Rostroraja,alba,EN
Schroederichthys,bivius,DD
Schroederichthys,chilensis,DD
Schroederichthys,maculatus,LC
Schroederichthys,saurisqualus,VU
Schroederichthys,tenuis,DD
Scoliodon,laticaudus,NT
Scyliorhinus,besnardi,DD
Scyliorhinus,boa,LC
Scyliorhinus,canicula,LC
Scyliorhinus,capensis,NT
Scyliorhinus,cervigoni,DD
Scyliorhinus,comoroensis,DD
Scyliorhinus,garmani,DD
Scyliorhinus,haeckelii,DD
Scyliorhinus,hesperius,DD
Scyliorhinus,meadi,DD
Scyliorhinus,retifer,LC
Scyliorhinus,stellaris,NT
Scyliorhinus,tokubee,DD
Scyliorhinus,torazame,LC
