"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"219941","occ","18482","","22640","Archaeolamna","genus","34601","Late Campanian","","83.5","70.6","18895"
"219943","occ","","","22640","Myledaphus bipartitus","species","63022","Late Campanian","","83.5","70.6","5723"
"220062","occ","","","22679","Pseudohypolophus","genus","34703","Late Albian","Early Cenomanian","105.3","93.5","13288"
"220063","occ","","","22679","Cretorectolobus","genus","34582","Late Albian","Early Cenomanian","105.3","93.5","13288"
"220120","occ","","","22696","Myledaphus bipartitus","species","63022","Late Campanian","","83.5","70.6","5929"
"220171","occ","","","22712","Myliobatis","genus","34741","Piacenzian","","3.6","2.588","5666"
"229970","occ","18160","","23369","Cretodus","genus","34607","Late Turonian","Early Santonian","93.5","83.5","17842"
"248035","occ","","","14462","Carcharias","genus","64190","Middle Campanian","Late Campanian","83.5","70.6","1488"
"248036","occ","","","14462","Cretolamna","genus","34608","Middle Campanian","Late Campanian","83.5","70.6","1488"
"248037","occ","","","14462","Myledaphus","genus","34808","Middle Campanian","Late Campanian","83.5","70.6","1488"
"248056","occ","","","14437","Myledaphus","genus","34808","Middle Campanian","Late Campanian","83.5","70.6","1488"
"248318","occ","","","24237","Carcharodon carcharias","species","83173","Tortonian","","11.62","7.246","6853"
"248319","occ","","","24237","Carcharocles megalodon","species","80603","Tortonian","","11.62","7.246","6853"
"248320","occ","","","24237","Ginglymostoma delfortriei","species","246010","Tortonian","","11.62","7.246","6853"
"248321","occ","","","24237","Hemipristis serra","species","83182","Tortonian","","11.62","7.246","6853"
"248322","occ","","","24237","Galeocerdo contortus","species","83184","Tortonian","","11.62","7.246","6853"
"248323","occ","","","24237","Galeocerdo aduncus","species","95928","Tortonian","","11.62","7.246","6853"
"248324","occ","","","24237","Carcharhinus","genus","34640","Tortonian","","11.62","7.246","6853"
"248325","occ","","","24237","Sphyrna","genus","34664","Tortonian","","11.62","7.246","6853"
"248326","occ","","","24237","Sphyrna zygaena","species","83211","Tortonian","","11.62","7.246","6853"
"248327","occ","","","24237","Isistius","genus","34548","Tortonian","","11.62","7.246","6853"
"248329","occ","","","24237","Myliobatis","genus","34741","Tortonian","","11.62","7.246","6853"
