"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Elasmobranchii&cc=ASI"
"Access Time","Fri 2017-02-03 22:50:36 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Elasmobranchii"
"","cc","ASI"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.239"
"Records Found","1367"
"Records Returned","1367"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"463201","occ","","","45702","Burnhamia sp.","genus","34727","","Burnhamia","genus","34727","Middle Eocene","","48.6","37.2","11958"
"463202","occ","","","45702","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","11958"
"463203","occ","","","45702","Abdounia aff. beaugei","species","34638","species not entered","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","11958"
"463204","occ","","","45702","Physodon tertius","species","65806","species not entered","Physodon","genus","65806","Middle Eocene","","48.6","37.2","11958"
"463205","occ","","","45702","Aprionodon amekiensis","species","100437","species not entered","Aprionodon","genus","100437","Middle Eocene","","48.6","37.2","11958"
"463206","occ","","","45702","Carcharhinidae indet.","family","83183","","Carcharhinidae","family","83183","Middle Eocene","","48.6","37.2","11958"
"463207","occ","","","45702","Odontaspis informal sp. 1","species","34620","species not entered","Odontaspis","genus","34620","Middle Eocene","","48.6","37.2","11958"
"463208","occ","","","45702","Odontaspis informal sp. 2","species","34620","species not entered","Odontaspis","genus","34620","Middle Eocene","","48.6","37.2","11958"
"463209","occ","","","45702","Striatolamia cf. macrota","species","66716","","Striatolamia macrota","species","66716","Middle Eocene","","48.6","37.2","11958"
"463210","occ","","","45702","Lamiostoma sp.","genus","118038","","Lamiostoma","genus","118038","Middle Eocene","","48.6","37.2","11958"
"463211","occ","","","45701","Rhinoptera sherborni","species","34745","species not entered","Rhinoptera","genus","34745","Middle Eocene","","48.6","37.2","11958"
"463212","occ","","","45701","Burnhamia sp.","genus","34727","","Burnhamia","genus","34727","Middle Eocene","","48.6","37.2","11958"
"463213","occ","","","45701","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","11958"
"463214","occ","","","45701","Abdounia cf. recticona","species","34638","species not entered","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","11958"
"463215","occ","","","45701","Physodon tertius","species","65806","species not entered","Physodon","genus","65806","Middle Eocene","","48.6","37.2","11958"
"463216","occ","","","45701","Aprionodon amekiensis","species","100437","species not entered","Aprionodon","genus","100437","Middle Eocene","","48.6","37.2","11958"
"463217","occ","","","45701","Galeorhinus sp.","genus","83177","","Galeorhinus","genus","83177","Middle Eocene","","48.6","37.2","11958"
"463218","occ","","","45701","Odontaspis informal sp. 1","species","34620","species not entered","Odontaspis","genus","34620","Middle Eocene","","48.6","37.2","11958"
"463219","occ","","","45701","Striatolamia cf. macrota","species","66716","","Striatolamia macrota","species","66716","Middle Eocene","","48.6","37.2","11958"
"463220","occ","","","45701","Hypotodus cf. robusta","species","34611","species not entered","Hypotodus","genus","34611","Middle Eocene","","48.6","37.2","11958"
"463221","occ","","","45701","Hypotodus verticalis","species","34611","species not entered","Hypotodus","genus","34611","Middle Eocene","","48.6","37.2","11958"
"463222","occ","","","45701","Procarcharodon cf. auriculatus","species","223912","recombined as","Carcharodon auriculatus","species","205317","Middle Eocene","","48.6","37.2","11958"
"463223","occ","","","45701","Macrorhizodus sp.","genus","118034","","Macrorhizodus","genus","118034","Middle Eocene","","48.6","37.2","11958"
"463224","occ","","","45701","Lamiostoma sp.","genus","118038","","Lamiostoma","genus","118038","Middle Eocene","","48.6","37.2","11958"
"467018","occ","","","46343","Sphyrna sp.","genus","34664","","Sphyrna","genus","34664","Middle Miocene","","15.97","11.608","12352"
"467019","occ","","","46343","Sphyrna lewini","species","83209","","Sphyrna lewini","species","83208","Middle Miocene","","15.97","11.608","12352"
"467020","occ","","","46343","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Middle Miocene","","15.97","11.608","12352"
"467021","occ","","","46343","Scoliodon laticaudus","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","12352"
"467022","occ","","","46343","Rhizoprionodon (Protozygaena) oligolinx","species","34662","species not entered","Rhizoprionodon","genus","34662","Middle Miocene","","15.97","11.608","12352"
"467023","occ","","","46343","Alopias vulpes","species","34599","species not entered","Alopias","genus","34599","Middle Miocene","","15.97","11.608","12352"
"467024","occ","","","46343","Pristis aquitanicus","species","132691","","Pristis aquitanicus","species","132691","Middle Miocene","","15.97","11.608","12352"
"467025","occ","","","46343","Carcharhinus maculipinnis","species","34640","species not entered","Carcharhinus","genus","34640","Middle Miocene","","15.97","11.608","12352"
"467026","occ","","","46343","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","12352"
"467027","occ","","","46343","Galeocerdo aduncus","species","95928","","Galeocerdo aduncus","species","95928","Middle Miocene","","15.97","11.608","12352"
"467028","occ","","","46343","Hypoprion sp.","genus","125028","","Hypoprion","genus","125028","Middle Miocene","","15.97","11.608","12352"
"467029","occ","","","46343","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Middle Miocene","","15.97","11.608","12352"
"467030","occ","","","46343","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","12352"
"467031","occ","","","46343","Pristis aquitanicus","species","132691","","Pristis aquitanicus","species","132691","Middle Miocene","","15.97","11.608","12352"
"467032","occ","","","46343","Rhizoprionodon (Protozygaena) oligolinx","species","34662","species not entered","Rhizoprionodon","genus","34662","Middle Miocene","","15.97","11.608","12352"
"467033","occ","","","46343","Scoliodon laticaudus","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","12352"
"467034","occ","","","46343","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Middle Miocene","","15.97","11.608","12352"
"467035","occ","","","46343","Sphyrna lewini","species","83209","","Sphyrna lewini","species","83208","Middle Miocene","","15.97","11.608","12352"
"467036","occ","","","46343","Sphyrna sp.","genus","34664","","Sphyrna","genus","34664","Middle Miocene","","15.97","11.608","12352"
"467044","occ","","","46356","Carcharhinus collata","species","34640","species not entered","Carcharhinus","genus","34640","Middle Miocene","","15.97","11.608","12352"
"467045","occ","","","46356","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Middle Miocene","","15.97","11.608","12352"
"467101","occ","","","46360","Scoliodon laticaudus","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","12352"
"467102","occ","","","46360","Pristis aquitanicus","species","132691","","Pristis aquitanicus","species","132691","Middle Miocene","","15.97","11.608","12352"
"467167","occ","","","46365","Hexanchus sp.","genus","34526","","Hexanchus","genus","34526","Middle Miocene","","15.97","11.608","12352"
"467168","occ","","","46365","Carcharodon megalodon","species","80601","recombined as","Carcharocles megalodon","species","80603","Middle Miocene","","15.97","11.608","12352"
"467169","occ","","","46365","Carchariolamna heroni","species","34602","species not entered","Carchariolamna","genus","34602","Middle Miocene","","15.97","11.608","12352"
"467170","occ","","","46365","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","12352"
"467171","occ","","","46365","Carcharhinus cf. egertoni","species","246012","","Carcharhinus egertoni","species","246012","Middle Miocene","","15.97","11.608","12352"
"467172","occ","","","46365","Carcharhinus frequens","species","34640","species not entered","Carcharhinus","genus","34640","Middle Miocene","","15.97","11.608","12352"
"467173","occ","","","46365","Carcharhinus maculipinnis","species","34640","species not entered","Carcharhinus","genus","34640","Middle Miocene","","15.97","11.608","12352"
"467174","occ","","","46365","Galeocerdo aduncus","species","95928","","Galeocerdo aduncus","species","95928","Middle Miocene","","15.97","11.608","12352"
"467175","occ","","","46365","Galeorhinus parvulus","species","83177","species not entered","Galeorhinus","genus","83177","Middle Miocene","","15.97","11.608","12352"
"467176","occ","","","46365","Hypoprion macloti","species","125028","species not entered","Hypoprion","genus","125028","Middle Miocene","","15.97","11.608","12352"
"467177","occ","","","46365","Scoliodon laticaudus","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","12352"
"467178","occ","","","46365","Pristis aquitanicus","species","132691","","Pristis aquitanicus","species","132691","Middle Miocene","","15.97","11.608","12352"
"467179","occ","","","46365","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Middle Miocene","","15.97","11.608","12352"
"467180","occ","","","46365","Rhinoptera raeburni","species","154719","","Rhinoptera raeburni","species","154719","Middle Miocene","","15.97","11.608","12352"
"467181","occ","","","46365","Aetobatus irregularis","species","154701","recombined as","Aetobatis irregularis","species","132643","Middle Miocene","","15.97","11.608","12352"
"467187","occ","","","46366","Carcharhinus collata","species","34640","species not entered","Carcharhinus","genus","34640","Middle Miocene","","15.97","11.608","12352"
"467188","occ","","","46366","Hypoprion horai","species","125028","species not entered","Hypoprion","genus","125028","Middle Miocene","","15.97","11.608","12352"
"467189","occ","","","46366","Scoliodon laticaudus","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","12352"
"467190","occ","","","46366","Sphyrna lewini","species","83209","","Sphyrna lewini","species","83208","Middle Miocene","","15.97","11.608","12352"
"467191","occ","","","46366","Pristis aquitanicus","species","132691","","Pristis aquitanicus","species","132691","Middle Miocene","","15.97","11.608","12352"
"467192","occ","","","46366","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Middle Miocene","","15.97","11.608","12352"
"474050","occ","","","47026","Hemipristis serra","species","83182","","Hemipristis serra","species","83182","Early Miocene","","23.03","15.97","12499"
"474051","occ","","","47026","Carcharhinus aff. priscus","species","280327","","Carcharhinus priscus","species","280327","Early Miocene","","23.03","15.97","12499"
"474052","occ","","","47026","Carcharhinus aff. plumbeus","species","83199","","Carcharhinus plumbeus","species","83198","Early Miocene","","23.03","15.97","12499"
"474053","occ","","","47026","Scoliodon sp.","genus","100438","","Scoliodon","genus","100438","Early Miocene","","23.03","15.97","12499"
